year,title,source,description,killed_ps,injured_ps,women_ps,kids_ps,old_ps,kills_is,injured_is,women_is,kids_is,old_is
2008,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,899,2325,38,354,0,33,819,5,4,0
2009,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,1066,6401,174,92,0,11,112,0,1,0
2010,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,95,1572,1,11,0,8,177,2,0,0
2011,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,114,2143,3,15,0,11,120,1,5,0
2012,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,260,4677,15,46,0,7,571,1,0,0
2013,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,39,3992,1,4,0,6,151,0,0,0
2014,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,2329,17533,301,567,0,88,2708,2,4,0
2015,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,174,14639,10,30,0,26,313,2,0,0
2016,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,109,3464,10,38,0,12,210,3,1,0
2017,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,77,8447,1,14,0,17,157,6,0,0
2018,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,300,31259,3,57,0,13,117,1,0,0
2019,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,138,15491,8,27,0,12,123,4,1,0
2020,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,30,2581,1,8,0,3,105,1,0,0
2021,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,349,19183,46,85,0,11,168,2,2,0
2022,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,191,10345,8,44,0,21,252,1,1,0
2023,Conflict,https://www.ochaopt.org/data/casualties,Israel bombard palestinian territories,227,8508,6,44,0,29,204,5,6,0